id;genotype
A/Wisconsin/67/2022;6B.1A.5a.2a.1
A/Washington/24/2023;6B.1A.5a.2a
A/Ghana/1894/2021;6B.1A.5a.1
A/Denmark/3280/2019;6B.1A.5a.2
A/Victoria/4897/2022___(22/316);6B.1A.5a.2a.1
A/Washington/22/2023;6B.1A.5a.2a
A/Bulgaria/234/2023;6B.1A.5a.2a
A/Ghana/2711/2022;6B.1A.5a.2a.1
A/Guangdong-Maonan/SWL1536/2019-egg;6B.1A.5a.1
A/West_Virginia/30/2022_____(23/122);6B.1A.5a.2a.1
A/Catalonia/NSVH161512065/2022;6B.1A.5a.2a.1
A/Sydney/175/2022;6B.1A.5a.2a
A/Maine/10/2022;6B.1A.5a.2a
A/Georgia/12/2022;6B.1A.5a.2a.1
A/Bulgaria/1413/2023;6B.1A.5a.2a
A/Lyon/820/2021;6B.1A.5a.1
A/Victoria/5172/2022;6B.1A.5a.2a.1
A/Brisbane/792/2022;6B.1A.5a.2a.1
A/Sichuan-Qingyang/SWL1148/2023;6B.1A.5a.2a.1
A/Wisconsin/588/2019;6B.1A.5a.2
A/Norway/25089/2022;6B.1A.5a.2a.1
A/Maldives/936/2023;6B.1A.5a.2a
A/Guangdong-Maonan/SWL1536/2019;6B.1A.5a.1
A/Victoria/4897/2022;6B.1A.5a.2a.1
A/Sydney/5/2021-cell;6B.1A.5a.2a
A/South_Dakota/31/2023;6B.1A.5a.2a
A/Sydney/5/2021;6B.1A.5a.2a
A/Netherlands/10468/2023;6B.1A.5a.2a
A/Victoria/2570/2019;6B.1A.5a.2
A/Norway/31694/2022;6B.1A.5a.2a.1
A/Guizhou-Liuzhite/326/2022;3C.2a1b.2a.1a.1
A/Cambodia/e0826360/2020;3C.2a1b.2a.1a
A/Cambodia/925256/2020;3C.2a1b.2a.1a
A/Norway/29511/2021;3C.2a1b.2a.2
A/Darwin/9/2021;3C.2a1b.2a.2a
A/Darwin/6/2021;3C.2a1b.2a.2a
A/Stockholm/5/2021;3C.2a1b.2a.2a
A/Slovenia/8720/2022;3C.2a1b.2a.2a.1
A/Maryland/02/2021;3C.2a1b.2a.2a.1a
A/Michigan/60/2022;3C.2a1b.2a.2a.1b
A/Catalonia/NSVH161512067/2022;3C.2a1b.2a.2a.1b
A/Poland/97/2022;3C.2a1b.2a.2a.2
A/Finland/402/2023;3C.2a1b.2a.2a.3a
A/Norway/24873/2021;3C.2a1b.2a.2a.3
A/Michigan/83/2022;3C.2a1b.2a.2a.3
A/Georgia/19/2023;3C.2a1b.2a.2a.3
A/Canberra/1/2022;3C.2a1b.2a.2a.3
A/California/122/2022;3C.2a1b.2a.2a.3a.1
A/Thailand/8/2022;3C.2a1b.2a.2a.3a.1
A/Sichuan-Gaoxin/1144/2023;3C.2a1b.2a.2a.3a.1
A/Massachusetts/18/2022;3C.2a1b.2a.2a.3a.1
A/Albania/289813/2022;3C.2a1b.2a.2a.3a.1
A/Brandenburg/15/2022;3C.2a1b.2a.2a.3a.1
A/Sydney/732/2022;3C.2a1b.2a.2a.3b
